node_code,node_name
USAAZ,USA - SW-AZPS
USAWA,USA - NW-WAUW
USANW,USA - NW-NWMT
USACH,USA - NW-CHPD
USAWC,USA - SW-WALC
USASP,USA - CENT-SPA
USAGC,USA - NW-GCPD
USAGD,USA - NW-GRID
USASA,USA - SE-SEPA
USAYA,USA - CAR-YAD
USADO,USA - NW-DOPD
USAAN,USA - NW-AVRN
USADE,USA - SW-DEAA
USAGF,USA - SW-GRIF
USAGW,USA - NW-GWA
USAHG,USA - SW-HGMA
USAWW,USA - NW-WWA
UZBXX,Uzbekistan
VENXX,Venezuela 
VNMCE,Viet Nam - Centre
VNMNO,Viet Nam - North
VNMSO,Viet Nam - South
YEMXX,Yemen
ZAFXX,South Africa
ZMBXX,Zambia
ZWEXX,Zimbabwe
