line_id,from,to,subsea,exclude,Capacity_GW,model_start_year,model_first_expansion_year,build_rate,cost
TRNBGRXXSRBXX,BGRXX,SRBXX,FALSE,FALSE,0.32,2020,2030,0,688
TRNBGRXXTURXX,BGRXX,TURXX,FALSE,FALSE,0.9,2020,2030,0,804
TRNBHRXXSAUXX,BHRXX,SAUXX,FALSE,FALSE,0.6,2020,2030,0,770
TRNBIHXXHRVXX,BIHXX,HRVXX,FALSE,FALSE,0.75,2020,2030,0,628
TRNBIHXXMNEXX,BIHXX,MNEXX,FALSE,FALSE,0.8,2020,2030,0,448
TRNBIHXXSRBXX,BIHXX,SRBXX,FALSE,FALSE,0.53,2020,2030,0,483
TRNBLRXXLTUXX,BLRXX,LTUXX,FALSE,FALSE,1.001,2020,2030,0,448
TRNBLRXXLVAXX,BLRXX,LVAXX,FALSE,FALSE,0,2030,2030,0,760
TRNBLRXXPOLXX,BLRXX,POLXX,FALSE,FALSE,0,2030,2030,0,792
TRNBLRXXRUSCE,BLRXX,RUSCE,FALSE,FALSE,2.72,2020,2030,0,881
TRNBLRXXRUSNW,BLRXX,RUSNW,FALSE,FALSE,0.57,2020,2030,0,888
TRNBLRXXUKRXX,BLRXX,UKRXX,FALSE,FALSE,0,2030,2030,0,773
TRNBLZXXGTMXX,BLZXX,GTMXX,FALSE,TRUE,0,2030,2030,0,762
TRNBLZXXMEXXX,BLZXX,MEXXX,FALSE,TRUE,0.04,2020,2030,0,1102
TRNBOLXXBRAXX,BOLXX,BRAXX,FALSE,FALSE,0,2030,2030,0,1396
TRNBOLXXCHLXX,BOLXX,CHLXX,FALSE,FALSE,0,2030,2030,0,1421
TRNBOLXXPERXX,BOLXX,PERXX,FALSE,FALSE,0,2030,2030,0,1299
TRNBOLXXPRYXX,BOLXX,PRYXX,FALSE,FALSE,0,2030,2030,0,1031
TRNBRAXXCOLXX,BRAXX,COLXX,FALSE,FALSE,0,2030,2030,0,2502
TRNBRAXXGUFXX,BRAXX,GUFXX,FALSE,FALSE,0,2030,2030,0,2014
TRNBRAXXGUYXX,BRAXX,GUYXX,FALSE,TRUE,0,2030,2030,0,915
TRNBRAXXPERXX,BRAXX,PERXX,FALSE,FALSE,0,2030,2030,0,2114
TRNBRAXXPRYXX,BRAXX,PRYXX,FALSE,FALSE,8.751,2020,2030,0,1083
TRNBRAXXSURXX,BRAXX,SURXX,FALSE,FALSE,0,2030,2030,0,2090
TRNBRAXXURYXX,BRAXX,URYXX,FALSE,FALSE,0.57,2020,2030,0,1274
TRNBRAXXVENXX,BRAXX,VENXX,FALSE,FALSE,0.231,2020,2030,0,2525
TRNBTNXXCHNSW,BTNXX,CHNSW,FALSE,FALSE,0,2030,2030,0,1222
