country,iso,region_code,node,Population,Centroid_Lat,Centroid_Lon,Pop_Lat,Pop_Lon,Node_Verbose,region_description
China,CHN,LI,CHNLI,7964000,41.8025,123.4281,41.8025,123.4281,,
China,CHN,MA,CHNMA,568700,22.2006,113.5461,22.2006,113.5461,,
China,CHN,NI,CHNNI,1901793,38.4795,106.2254,38.4795,106.2254,,
China,CHN,NM,CHNNM,4341245,42.2663,118.9223,42.2663,118.9223,,
China,CHN,QI,CHNQI,2467965,36.6239,101.7787,36.6239,101.7787,,
China,CHN,SC,CHNSC,14645000,30.66,104.0633,30.66,104.0633,,
China,CHN,SD,CHNSD,5818255,36.1167,120.4,36.1167,120.4,,
China,CHN,SH,CHNSH,24073000,31.1667,121.4667,31.1667,121.4667,,
China,CHN,SI,CHNSI,12328000,34.2667,108.9,34.2667,108.9,,
China,CHN,SX,CHNSX,3875053,37.8733,112.5425,37.8733,112.5425,,
China,CHN,TI,CHNTI,902500,29.6534,91.1719,29.6534,91.1719,,
China,CHN,TJ,CHNTJ,13552359,39.1467,117.2056,39.1467,117.2056,,
China,CHN,XI,CHNXI,4335017,43.8225,87.6125,43.8225,87.6125,,
China,CHN,YU,CHNYU,4422686,25.0433,102.7061,25.0433,102.7061,,
China,CHN,ZH,CHNZH,9523000,30.25,120.1675,30.25,120.1675,,
Cote DIvoire,CIV,XX,CIVXX,4980000,7.62505631,-5.55467423,5.3167,-4.0333,Côte d'Ivoire,
Cameroon,CMR,XX,CMRXX,5768400,5.692878617,12.74155214,4.05,9.7,Cameroon,
Congo (Kinshasa),COD,XX,CODXX,12836000,-2.881186814,23.66027837,-4.325,15.3222,Congo,
Congo (Brazzaville),COG,XX,COGXX,1827000,-0.833601272,15.24535868,-4.2694,15.2714,Congo,
Colombia,COL,XX,COLXX,7968095,3.898761446,-73.07812436,4.7111,-74.0722,Colombia,
Costa Rica,CRI,XX,CRIXX,1543000,9.975245274,-84.19466083,9.9325,-84.08,Costa Rica,
Cyprus,CYP,XX,CYPXX,330000,35.05573076,33.22452298,35.1725,33.365,Cyprus,
Czechia,CZE,XX,CZEXX,1335084,49.74046863,15.33044742,50.0875,14.4214,Czechia,
Germany,DEU,XX,DEUXX,4473101,51.09425219,10.38776868,52.52,13.405,Germany,
Djibouti,DJI,XX,DJIXX,603900,11.72702742,42.56409661,11.5883,43.145,Djibouti,
Denmark,DNK,XX,DNKXX,1366301,55.6761,12.5683,55.6761,12.5683,Denmark,
Dominican Republic,DOM,XX,DOMXX,2581827,18.89832464,-70.49650755,18.4764,-69.8933,Dominican Republic,
Algeria,DZA,XX,DZAXX,3415811,28.15777049,2.676939699,36.7539,3.0589,Algeria,
Ecuador,ECU,XX,ECUXX,2723665,-1.448030964,-78.37794735,-2.19,-79.8875,Ecuador,
Egypt,EGY,XX,EGYXX,20296000,26.56948837,29.7825875,30.0444,31.2358,Egypt,
Eritrea,ERI,XX,ERIXX,963000,15.3228,38.925,15.3228,38.925,,
Western Sahara,ESH,XX,ESHXX,217732,24.67737336,-13.1354731,27.1536,-13.2033,Western Sahara,
